20,HBO NOW,com.hbo.hbonow
21,AE,com.aetn.aetv.watch
22,Food Network,tv.accedo.foodnetwork
23,DisneyNOW,com.disney.datg.videoplatforms.android.amazon.kindle.watchdc
24,SHOWTIME,com.showtime.standalone
25,USA,com.amazon.webapps.nbc.usa
26,Freeform,com.disney.datg.videoplatforms.android.amazon.kindle.abcf
27,Bravo,com.amazon.webapps.nbc.bravo
28,Hallmark,com.feeln.androidapp
29,TLC GO,com.discovery.firetv.tlcgo
30,YouTube,org.chromium.youtube_apk
31,DC Universe,com.wb.amzn.dcuniverse
32,Cartoon Network,com.turner.cnvideoapp
33,TBS,com.turner.tbs.android.networkapp
34,Hulu,com.hulu.plus
35,SYFY,com.amazon.webapps.nbc.syfy
36,FXNOW,com.fxnetworks.fxnow
37,OWN,com.own.firetv.owntve
38,Hallmark Channel,com.hallmarkchannel.tv
39,MTV,com.mtvn.mtvPrimeAndroid
